time,v(1),i(V1),v(X0.q)
7.9280000e-03,9.9584990e-02,-1.2497856e-06,9.9444965e-09
8.0280000e-03,1.0084005e-01,-1.2496133e-06,1.0069466e-08
8.1280000e-03,1.0209507e-01,-1.2494366e-06,1.0194419e-08
8.2280000e-03,1.0335005e-01,-1.2492600e-06,1.0319354e-08
8.3280000e-03,1.0460498e-01,-1.2490789e-06,1.0444271e-08
8.4280000e-03,1.0585988e-01,-1.2488980e-06,1.0569170e-08
8.5280000e-03,1.0711473e-01,-1.2487127e-06,1.0694050e-08
8.6280000e-03,1.0836955e-01,-1.2485275e-06,1.0818912e-08
8.7280000e-03,1.0962432e-01,-1.2483379e-06,1.0943755e-08
8.8280000e-03,1.1087904e-01,-1.2481484e-06,1.1068580e-08
8.9280000e-03,1.1213372e-01,-1.2479545e-06,1.1193385e-08
9.0280000e-03,1.1338836e-01,-1.2477608e-06,1.1318171e-08
9.1280000e-03,1.1464296e-01,-1.2475626e-06,1.1442937e-08
9.2280000e-03,1.1589750e-01,-1.2473646e-06,1.1567683e-08
9.3280000e-03,1.1715201e-01,-1.2471621e-06,1.1692410e-08
9.4280000e-03,1.1840646e-01,-1.2469598e-06,1.1817116e-08
9.5280000e-03,1.1966087e-01,-1.2467531e-06,1.1941801e-08
9.6280000e-03,1.2091523e-01,-1.2465465e-06,1.2066466e-08
9.7280000e-03,1.2216955e-01,-1.2463355e-06,1.2191110e-08
9.8280000e-03,1.2342382e-01,-1.2461246e-06,1.2315733e-08
9.9280000e-03,1.2467803e-01,-1.2459094e-06,1.2440335e-08
1.0028000e-02,1.2593220e-01,-1.2456943e-06,1.2564915e-08
1.0128000e-02,1.2718632e-01,-1.2454748e-06,1.2689474e-08
1.0228000e-02,1.2844039e-01,-1.2452554e-06,1.2814010e-08
1.0328000e-02,1.2969441e-01,-1.2450316e-06,1.2938525e-08
1.0428000e-02,1.3094837e-01,-1.2448080e-06,1.3063017e-08
1.0528000e-02,1.3220229e-01,-1.2445800e-06,1.3187486e-08
1.0628000e-02,1.3345615e-01,-1.2443521e-06,1.3311933e-08
1.0728000e-02,1.3470996e-01,-1.2441198e-06,1.3436356e-08
1.0828000e-02,1.3596372e-01,-1.2438878e-06,1.3560756e-08
1.0928000e-02,1.3721742e-01,-1.2436512e-06,1.3685133e-08
1.1028000e-02,1.3847107e-01,-1.2434149e-06,1.3809487e-08
1.1128000e-02,1.3972466e-01,-1.2431741e-06,1.3933816e-08
1.1228000e-02,1.4097820e-01,-1.2429336e-06,1.4058122e-08
1.1328000e-02,1.4223168e-01,-1.2426886e-06,1.4182403e-08
1.1428000e-02,1.4348511e-01,-1.2424438e-06,1.4306659e-08
1.1528000e-02,1.4473848e-01,-1.2421946e-06,1.4430891e-08
1.1628000e-02,1.4599180e-01,-1.2419456e-06,1.4555098e-08
1.1728000e-02,1.4724505e-01,-1.2416921e-06,1.4679280e-08
1.1828000e-02,1.4849825e-01,-1.2414389e-06,1.4803437e-08
1.1928000e-02,1.4975139e-01,-1.2411813e-06,1.4927568e-08
1.2028000e-02,1.5100447e-01,-1.2409238e-06,1.5051673e-08
1.2128000e-02,1.5225749e-01,-1.2406620e-06,1.5175752e-08
1.2228000e-02,1.5351045e-01,-1.2404003e-06,1.5299805e-08
1.2328000e-02,1.5476335e-01,-1.2401343e-06,1.5423832e-08
1.2428000e-02,1.5601619e-01,-1.2398684e-06,1.5547832e-08
1.2528000e-02,1.5726896e-01,-1.2395981e-06,1.5671806e-08
1.2628000e-02,1.5852168e-01,-1.2393281e-06,1.5795752e-08
1.2728000e-02,1.5977433e-01,-1.2390536e-06,1.5919671e-08
1.2828000e-02,1.6102692e-01,-1.2387794e-06,1.6043563e-08
1.2928000e-02,1.6227944e-01,-1.2385008e-06,1.6167427e-08
1.3028000e-02,1.6353191e-01,-1.2382223e-06,1.6291263e-08
1.3128000e-02,1.6478430e-01,-1.2379395e-06,1.6415071e-08
1.3228000e-02,1.6603663e-01,-1.2376569e-06,1.6538851e-08
1.3328000e-02,1.6728890e-01,-1.2373699e-06,1.6662602e-08
1.3428000e-02,1.6854110e-01,-1.2370831e-06,1.6786325e-08
1.3528000e-02,1.6979323e-01,-1.2367920e-06,1.6910018e-08
1.3628000e-02,1.7104530e-01,-1.2365010e-06,1.7033683e-08
1.3728000e-02,1.7229730e-01,-1.2362057e-06,1.7157318e-08
1.3828000e-02,1.7354923e-01,-1.2359106e-06,1.7280924e-08
1.3928000e-02,1.7480109e-01,-1.2356111e-06,1.7404500e-08
1.4028000e-02,1.7605289e-01,-1.2353118e-06,1.7528046e-08
1.4128000e-02,1.7730461e-01,-1.2350082e-06,1.7651562e-08
1.4228000e-02,1.7855627e-01,-1.2347048e-06,1.7775048e-08
1.4328000e-02,1.7980785e-01,-1.2343970e-06,1.7898503e-08
1.4428000e-02,1.8105936e-01,-1.2340894e-06,1.8021927e-08
1.4528000e-02,1.8231080e-01,-1.2337775e-06,1.8145321e-08
